card_seq,trait_definition_name,condition_name,role,sort_order
1,対左,,,0
2,対右,無走者,,0
2,WP,有走者,,1
2,三振,,,2
3,チャンス,,batter,0
3,DB,,pitcher,1
4,対左,,,0
5,DB,無走者,,0
5,ボーク,有走者,,1
6,対右,,,0
7,対右,,,0
8,対左,,,0
9,対右,,,0
10,ホームラン,,,0
11,DB,,,0
12,DB,無走者,,0
12,WP,有走者,,1
13,DB,,,0
14,チャンス,,,0
15,内野安打,,,0
16,チャンス,,,0
17,1C5,,,0
18,DB,,,0
19,チャンス,,,0
20,対左,,batter,0
20,ホームラン,,pitcher,1
21,内野安打,,,0
22,対左,,,0
23,対左,,,0
24,対左,,,0
25,対左,,,0
26,対左,,,0
27,内野安打,,,0
28,DB,無走者,,0
28,WP,有走者,,1
29,ホームラン,,,0
29,DB,,,1
30,ホームラン,,,0
31,DB,,,0
32,DB,無走者,,0
32,WP,有走者,,1
33,チャンス,,batter,0
33,対右,,pitcher,1
34,ホームラン,,,0
35,ホームラン,,,0
35,DB,,,1
36,ホームラン,,,0
37,DB,無走者,,0
37,WP,有走者,,1
38,対左,,,0
39,対右,無走者,,0
39,WP,有走者,,1
40,1C5,,,0
41,1C5,,,0
42,対左,,,0
43,1C5,,,0
44,DB,,,0
45,チャンス,,,0
46,チャンス,,,0
47,チャンス,,,0
48,DB,,,0
49,1C5,,,0
50,チャンス,,,0
51,対左,,,0
52,1C5,,,0
53,1C5,,,0
54,チャンス,,,0
55,対右,,,0
56,DB,,,0
57,ホームラン,無走者,,0
57,WP,有走者,,1
58,ホームラン,,,0
58,対左,,,1
59,対右,,,0
60,DB,,,0
60,ホームラン,リード,,1
60,三振,ビハインド,,2
61,対左,,,0
62,DB,無走者,,0
62,WP,有走者,,1
63,DB,,,0
63,DB,,,1
64,DB,,,0
65,対左,,,0
65,ホームラン,,,1
66,対左,無走者,,0
66,WP,有走者,,1
67,対右,無走者,,0
67,WP,有走者,,1
68,DB,,,0
70,対右,,,0
71,対左,,,0
72,DB,,,0
73,チャンス,,,0
74,対左,,,0
75,チャンス,,,0
76,対左,,,0
77,対左,,,0
78,チャンス,,,0
79,1C5,,,0
80,DB,,,0
81,対左,,,0
82,対右,,,0
82,三振,,,1
83,対右,,,0
84,対右,,,0
84,1P5,,,1
85,対左,,,0
86,ホームラン,無走者,,0
86,WP,有走者,,1
87,対右,,,0
88,DB,,,0
89,DB,,,0
90,対左,,,0
91,対左,,,0
92,対右,,,0
93,対右,,,0
94,対右,,,0
95,対左,,,0
96,対右,,,0
97,対左,,,0
98,DB,,,0
99,対右,,,0
100,1C5,,,0
101,対左,,,0
102,内野安打,,,0
104,チャンス,,,0
105,DB,,,0
106,対右,,,0
107,対右,,,0
108,1C5,,,0
109,対右,,,0
110,対左,,,0
111,対右,,,0
112,対右,無走者,,0
112,WP,有走者,,1
113,DB,無走者,,0
113,WP,有走者,,1
114,対右,,,0
115,対右,,,0
116,対右,,,0
117,対左,,,0
118,ホームラン,,,0
119,対左,,,0
120,対右,,,0
121,チャンス,,,0
123,内野安打,,,0
124,対右,,,0
125,対左,,,0
126,チャンス,,,0
127,対左,,,0
128,対左,,,0
129,DB,,,0
130,内野安打,,,0
131,対左,,,0
132,対左,,,0
133,対左,,,0
134,対右,,,0
135,対右,,,0
136,三振振り逃げ,無走者,,0
136,WP,有走者,,1
137,対右,,,0
138,対右,,,0
141,対右,無走者,,0
141,WP,有走者,,1
142,ホームラン,,,0
142,対右,,,1
143,ホームラン,,,0
144,対左,,,0
145,対右,,,0
146,対右,,,0
147,対右,,,0
148,対右,,,0
149,対左,,,0
150,チャンス,,,0
151,対左,,,0
151,対左,,,1
152,1C5,,,0
153,内野安打,,,0
154,対右,,,0
155,内野安打,,,0
156,対左,,,0
157,対左,,,0
158,1C5,,,0
159,対右,,,0
160,対左,,,0
161,チャンス,,,0
162,DB,,,0
163,チャンス,,,0
164,対右,,,0
165,チャンス,,,0
166,対左,,,0
167,1C5,,,0
168,対右,,,0
169,DB,,,0
170,対右,,,0
171,対左,,,0
172,対右,,,0
173,内野安打,,,0
174,対右,,,0
175,対左,,,0
176,DB,,,0
177,対左,,,0
179,DB,,,0
180,対右,,,0
181,DB,,,0
182,対右,,,0
183,対左,,,0
185,三振,,,0
186,DB,,,0
187,対左,,,0
188,対右,,,0
189,チャンス,,,0
190,対右,,,0
191,DB,,,0
192,対右,,,0
193,対左,,,0
194,DB,,,0
195,チャンス,,,0
196,ホームラン,無走者,,0
196,WP,有走者,,1
197,対右,,,0
198,DB,,,0
199,チャンス,,,0
200,対右,,,0
201,DB,,,0
203,対右,,,0
204,対左,,,0
205,対右,,,0
206,対左,無走者,,0
206,ボーク,有走者,,1
207,チャンス,,,0
208,ホームラン,,,0
209,対右,,,0
210,DB,,,0
211,1C5,,,0
212,対右,,,0
214,対右,,,0
215,チャンス,,,0
216,対右,,,0
217,DB,,,0
218,対右,,,0
219,対左,,,0
220,対右,,,0
222,対右,無走者,,0
222,WP,有走者,,1
223,対左,,,0
224,対左,,,0
225,チャンス,,,0
226,チャンス,,,0
227,1C5,,,0
228,対右,,,0
229,DB,,,0
230,DB,,,0
231,内野安打,,,0
232,対右,,,0
233,チャンス,,,0
234,対左,,,0
235,対左,,,0
236,対右,,,0
237,対左,無走者,,0
237,WP,有走者,,1
238,内野安打,,,0
239,対右,,,0
240,対左,,batter,0
240,DB,,pitcher,1
241,対左,,,0
242,チャンス,,,0
243,DB,,,0
244,対右,無走者,,0
244,WP,有走者,,1
245,チャンス,,,0
246,チャンス,,,0
247,DB,,,0
248,対左,,,0
249,対右,,,0
250,対右,,,0
251,DB,,,0
252,対左,,,0
253,対左,無走者,,0
253,WP,有走者,,1
254,DB,,,0
255,DB,,,0
256,DB,,,0
257,対右,無走者,,0
257,WP,有走者,,1
258,1C5,,,0
259,DB,,,0
260,チャンス,,,0
261,1C5,,,0
262,対右,,,0
263,対左,,,0
264,対右,無走者,,0
264,WP,有走者,,1
265,DB,,,0
266,チャンス,,,0
267,チャンス,,,0
269,対左,,,0
270,DB,,,0
271,ホームラン,,,0
271,三振振り逃げ,無走者,,1
271,WP,有走者,,2
272,1C5,,,0
273,1C5,,,0
274,DB,,,0
275,対右,,,0
277,内野安打,,,0
278,チャンス,,,0
279,対右,,,0
280,DB,,,0
281,対左,,,0
282,対右,,,0
283,対右,,,0
284,DB,,,0
285,DB,無走者,,0
285,WP,有走者,,1
286,対右,,,0
287,1C5,代打,,0
288,対右,,,0
288,チャンス,,,1
289,対右,,,0
290,対右,,,0
291,内野安打,,,0
292,チャンス,,,0
293,対左,,,0
294,チャンス,,,0
295,対右,,,0
296,対左,,,0
298,チャンス,,,0
299,DB,,,0
300,DB,,,0
301,チャンス,,,0
302,対左,無走者,,0
302,WP,有走者,,1
303,WP,,,0
304,対左,,,0
305,内野安打,,,0
306,対右,,,0
306,1C5,,,1
307,DB,無走者,,0
307,ボーク,有走者,,1
308,チャンス,,,0
309,チャンス,,,0
310,チャンス,,,0
311,ホームラン,,,0
312,1C5,,,0
313,1C5,,,0
314,対左,,,0
315,チャンス,,,0
316,DB,,,0
317,対左,,,0
318,対左,,,0
319,対右,,,0
320,対左,,,0
321,1C5,,,0
322,対左,,,0
323,対左,,batter,0
323,対左,,pitcher,1
326,DB,,,0
327,DB,,,0
328,対左,,,0
329,チャンス,,,0
330,DB,,,0
331,対左,,,0
332,1C5,,,0
333,ホームラン,,,0
333,ホームラン,,,1
334,対左,,,0
335,チャンス,,,0
336,対左,,,0
336,ホームラン,,,1
337,内野安打,,,0
338,対左,,,0
339,対左,,,0
341,DB,,,0
342,対左,,,0
343,対左,,,0
344,DB,無走者,,0
344,WP,有走者,,1
345,チャンス,,,0
347,チャンス,,,0
348,WP,,,0
350,対右,,,0
351,対左,,,0
352,対右,,,0
353,WP,,,0
354,対右,,,0
355,チャンス,,,0
356,DB,無走者,,0
356,WP,有走者,,1
357,チャンス,,,0
358,1C5,,,0
360,内野安打,,,0
361,対右,,,0
362,三振,,,0
363,チャンス,,,0
364,対右,,,0
365,対左,,,0
366,チャンス,,,0
367,対右,,,0
368,1C5,,,0
369,対左,,,0
370,DB,,,0
371,対左,,,0
372,WP,,,0
374,1P5,,,0
376,対左,,,0
377,内野安打,,,0
378,対右,,,0
379,DB,,,0
379,チャンス,,,1
380,DB,無走者,,0
380,ボーク,有走者,,1
381,対左,,,0
382,ホームラン,,,0
382,対右,,,1
383,チャンス,,,0
384,対左,,,0
385,DB,,,0
386,対右,,,0
388,対左,,batter,0
389,対左,,batter,0
390,対左,,,0
391,1C5,,,0
392,1C5,,,0
393,ホームラン,,,0
393,DB,,,1
395,対右,,,0
396,チャンス,,,0
397,1C5,,,0
398,対右,,,0
399,対右,,,0
400,チャンス,,,0
401,チャンス,,,0
402,対右,,pitcher,0
403,内野安打,,batter,0
403,対右,,pitcher,1
404,内野安打,,,0
405,チャンス,,,0
406,対左,,,0
406,三振,,,1
407,対左,,,0
408,チャンス,,,0
409,DB,,,0
412,対左,,,0
413,内野安打,,batter,0
413,対右,,pitcher,1
414,1C5,,,0
415,三振振り逃げ,無走者,,0
415,WP,有走者,,1
415,ホームラン,,,2
416,DB,,,0
417,1C5,,,0
418,対左,,,0
419,対右,,,0
419,対左,,,1
420,内野安打,,,0
422,チャンス,,,0
423,内野安打,,,0
424,チャンス,,,0
425,チャンス,,batter,0
425,対左,,pitcher,1
426,対右,,,0
427,ホームラン,,,0
428,対右,,,0
429,対右,,,0
430,1C5,,,0
431,内野安打,,,0
432,チャンス,,,0
